,Pos. snake,Pos. apple,Decision
0,"[(17, 14)]","(0, 6)",right
1,"[(16, 14)]","(0, 6)",right
2,"[(15, 14)]","(0, 6)",right
3,"[(14, 14)]","(0, 6)",right
4,"[(13, 14)]","(0, 6)",right
5,"[(12, 14)]","(0, 6)",right
6,"[(11, 14)]","(0, 6)",right
7,"[(10, 14)]","(0, 6)",right
8,"[(9, 14)]","(0, 6)",right
9,"[(8, 14)]","(0, 6)",right
10,"[(7, 14)]","(0, 6)",right
11,"[(6, 14)]","(0, 6)",right
12,"[(5, 14)]","(0, 6)",right
13,"[(4, 14)]","(0, 6)",right
14,"[(3, 14)]","(0, 6)",right
15,"[(2, 14)]","(0, 6)",right
16,"[(1, 14)]","(0, 6)",right
17,"[(0, 14)]","(0, 6)",right
