,Pos. snake,Pos. apple,Decision
0,"[(16, 16)]","(0, 18)",right
1,"[(15, 16)]","(0, 18)",right
2,"[(14, 16)]","(0, 18)",right
3,"[(13, 16)]","(0, 18)",right
4,"[(12, 16)]","(0, 18)",right
5,"[(11, 16)]","(0, 18)",right
6,"[(10, 16)]","(0, 18)",right
7,"[(9, 16)]","(0, 18)",right
8,"[(8, 16)]","(0, 18)",right
9,"[(7, 16)]","(0, 18)",right
10,"[(6, 16)]","(0, 18)",right
11,"[(5, 16)]","(0, 18)",right
12,"[(4, 16)]","(0, 18)",right
13,"[(3, 16)]","(0, 18)",right
14,"[(2, 16)]","(0, 18)",right
15,"[(1, 16)]","(0, 18)",right
16,"[(0, 16)]","(0, 18)",right
