,Pos. snake,Pos. apple,Decision
0,"[(15, 19)]","(0, 3)",right
1,"[(14, 19)]","(0, 3)",right
2,"[(13, 19)]","(0, 3)",right
3,"[(12, 19)]","(0, 3)",right
4,"[(11, 19)]","(0, 3)",right
5,"[(10, 19)]","(0, 3)",right
6,"[(9, 19)]","(0, 3)",right
7,"[(8, 19)]","(0, 3)",right
8,"[(7, 19)]","(0, 3)",right
9,"[(6, 19)]","(0, 3)",right
10,"[(5, 19)]","(0, 3)",right
11,"[(4, 19)]","(0, 3)",right
12,"[(3, 19)]","(0, 3)",right
13,"[(2, 19)]","(0, 3)",right
14,"[(1, 19)]","(0, 3)",right
15,"[(0, 19)]","(0, 3)",right
