,Pos. snake,Pos. apple,Decision
0,"[(18, 12)]","(0, 0)",left
1,"[(17, 12)]","(0, 0)",left
2,"[(16, 12)]","(0, 0)",right
3,"[(15, 12)]","(0, 0)",left
4,"[(14, 12)]","(0, 0)",left
5,"[(13, 12)]","(0, 0)",
6,"[(12, 12)]","(0, 0)",left
7,"[(11, 12)]","(0, 0)",right
8,"[(10, 12)]","(0, 0)",
9,"[(9, 12)]","(0, 0)",left
10,"[(8, 12)]","(0, 0)",left
11,"[(7, 12)]","(0, 0)",
12,"[(6, 12)]","(0, 0)",right
13,"[(5, 12)]","(0, 0)",left
14,"[(4, 12)]","(0, 0)",left
15,"[(3, 12)]","(0, 0)",left
16,"[(2, 12)]","(0, 0)",right
17,"[(1, 12)]","(0, 0)",right
18,"[(0, 12)]","(0, 0)",left
