,Pos. snake,Pos. apple,Decision
0,"[(17, 15)]","(2, 5)",right
1,"[(16, 15)]","(2, 5)",right
2,"[(15, 15)]","(2, 5)",right
3,"[(14, 15)]","(2, 5)",right
4,"[(13, 15)]","(2, 5)",right
5,"[(12, 15)]","(2, 5)",right
6,"[(11, 15)]","(2, 5)",right
7,"[(10, 15)]","(2, 5)",right
8,"[(9, 15)]","(2, 5)",right
9,"[(8, 15)]","(2, 5)",right
10,"[(7, 15)]","(2, 5)",right
11,"[(6, 15)]","(2, 5)",right
12,"[(5, 15)]","(2, 5)",right
13,"[(4, 15)]","(2, 5)",right
14,"[(3, 15)]","(2, 5)",right
15,"[(2, 15)]","(2, 5)",right
16,"[(1, 15)]","(2, 5)",right
17,"[(0, 15)]","(2, 5)",right
