,Pos. snake,Pos. apple,Decision
0,"[(18, 9)]","(1, 19)",
1,"[(17, 9)]","(1, 19)",
2,"[(16, 9)]","(1, 19)",
3,"[(15, 9)]","(1, 19)",
4,"[(14, 9)]","(1, 19)",
5,"[(13, 9)]","(1, 19)",
6,"[(12, 9)]","(1, 19)",
7,"[(11, 9)]","(1, 19)",
8,"[(10, 9)]","(1, 19)",
9,"[(9, 9)]","(1, 19)",
10,"[(8, 9)]","(1, 19)",
11,"[(7, 9)]","(1, 19)",
12,"[(6, 9)]","(1, 19)",
13,"[(5, 9)]","(1, 19)",
14,"[(4, 9)]","(1, 19)",
15,"[(3, 9)]","(1, 19)",
16,"[(2, 9)]","(1, 19)",
17,"[(1, 9)]","(1, 19)",
18,"[(0, 9)]","(1, 19)",
