,Pos. snake,Pos. apple,Decision
0,"[(17, 16)]","(0, 16)",
1,"[(16, 16)]","(0, 16)",right
2,"[(15, 16)]","(0, 16)",right
3,"[(14, 16)]","(0, 16)",right
4,"[(13, 16)]","(0, 16)",right
5,"[(12, 16)]","(0, 16)",right
6,"[(11, 16)]","(0, 16)",
7,"[(10, 16)]","(0, 16)",
8,"[(9, 16)]","(0, 16)",right
9,"[(8, 16)]","(0, 16)",right
10,"[(7, 16)]","(0, 16)",right
11,"[(6, 16)]","(0, 16)",right
12,"[(5, 16)]","(0, 16)",right
13,"[(4, 16)]","(0, 16)",right
14,"[(3, 16)]","(0, 16)",right
15,"[(2, 16)]","(0, 16)",right
16,"[(1, 16)]","(0, 16)",right
17,"[(0, 16)]","(0, 16)",right
