,Pos. snake,Pos. apple,Decision
0,"[(17, 11)]","(1, 11)",
1,"[(16, 11)]","(1, 11)",right
2,"[(15, 11)]","(1, 11)",right
3,"[(14, 11)]","(1, 11)",right
4,"[(13, 11)]","(1, 11)",right
5,"[(12, 11)]","(1, 11)",right
6,"[(11, 11)]","(1, 11)",right
7,"[(10, 11)]","(1, 11)",
8,"[(9, 11)]","(1, 11)",right
9,"[(8, 11)]","(1, 11)",right
10,"[(7, 11)]","(1, 11)",right
11,"[(6, 11)]","(1, 11)",right
12,"[(5, 11)]","(1, 11)",right
13,"[(4, 11)]","(1, 11)",right
14,"[(3, 11)]","(1, 11)",right
15,"[(2, 11)]","(1, 11)",right
16,"[(1, 11)]","(6, 10)",right
17,"[(0, 11)]","(6, 10)",right
