,Pos. snake,Pos. apple,Decision
0,"[(18, 9)]","(14, 9)",
1,"[(17, 9)]","(14, 9)",
2,"[(16, 9)]","(14, 9)",
3,"[(15, 9)]","(14, 9)",right
4,"[(14, 9)]","(0, 10)",
5,"[(13, 9)]","(0, 10)",
6,"[(12, 9)]","(0, 10)",
7,"[(11, 9)]","(0, 10)",right
8,"[(10, 9)]","(0, 10)",right
9,"[(9, 9)]","(0, 10)",right
10,"[(8, 9)]","(0, 10)",right
11,"[(7, 9)]","(0, 10)",right
12,"[(6, 9)]","(0, 10)",
13,"[(5, 9)]","(0, 10)",right
14,"[(4, 9)]","(0, 10)",
15,"[(3, 9)]","(0, 10)",
16,"[(2, 9)]","(0, 10)",right
17,"[(1, 9)]","(0, 10)",right
18,"[(0, 9)]","(0, 10)",right
