,Pos. snake,Pos. apple,Decision
0,"[(17, 18)]","(6, 18)",right
1,"[(16, 18)]","(6, 18)",right
2,"[(15, 18)]","(6, 18)",
3,"[(14, 18)]","(6, 18)",
4,"[(13, 18)]","(6, 18)",
5,"[(12, 18)]","(6, 18)",right
6,"[(11, 18)]","(6, 18)",right
7,"[(10, 18)]","(6, 18)",right
8,"[(9, 18)]","(6, 18)",
9,"[(8, 18)]","(6, 18)",
10,"[(7, 18)]","(6, 18)",
11,"[(6, 18)]","(8, 12)",
12,"[(5, 18)]","(8, 12)",
13,"[(4, 18)]","(8, 12)",
14,"[(3, 18)]","(8, 12)",
15,"[(2, 18)]","(8, 12)",
16,"[(1, 18)]","(8, 12)",
17,"[(0, 18)]","(8, 12)",
