,Pos. snake,Pos. apple,Decision
0,"[(17, 13)]","(0, 13)",
1,"[(16, 13)]","(0, 13)",right
2,"[(15, 13)]","(0, 13)",right
3,"[(14, 13)]","(0, 13)",
4,"[(13, 13)]","(0, 13)",
5,"[(12, 13)]","(0, 13)",
6,"[(11, 13)]","(0, 13)",
7,"[(10, 13)]","(0, 13)",
8,"[(9, 13)]","(0, 13)",
9,"[(8, 13)]","(0, 13)",
10,"[(7, 13)]","(0, 13)",
11,"[(6, 13)]","(0, 13)",
12,"[(5, 13)]","(0, 13)",right
13,"[(4, 13)]","(0, 13)",
14,"[(3, 13)]","(0, 13)",
15,"[(2, 13)]","(0, 13)",
16,"[(1, 13)]","(0, 13)",
17,"[(0, 13)]","(4, 3)",
