,Pos. snake,Pos. apple,Decision
0,"[(18, 19)]","(0, 19)",right
1,"[(17, 19)]","(0, 19)",right
2,"[(16, 19)]","(0, 19)",right
3,"[(15, 19)]","(0, 19)",right
4,"[(14, 19)]","(0, 19)",right
5,"[(13, 19)]","(0, 19)",right
6,"[(12, 19)]","(0, 19)",right
7,"[(11, 19)]","(0, 19)",right
8,"[(10, 19)]","(0, 19)",right
9,"[(9, 19)]","(0, 19)",right
10,"[(8, 19)]","(0, 19)",right
11,"[(7, 19)]","(0, 19)",right
12,"[(6, 19)]","(0, 19)",right
13,"[(5, 19)]","(0, 19)",right
14,"[(4, 19)]","(0, 19)",right
15,"[(3, 19)]","(0, 19)",right
16,"[(2, 19)]","(0, 19)",right
17,"[(1, 19)]","(0, 19)",right
18,"[(0, 19)]","(7, 5)",right
