,Pos. snake,Pos. apple,Decision
0,"[(17, 11)]","(0, 11)",
1,"[(16, 11)]","(0, 11)",
2,"[(15, 11)]","(0, 11)",
3,"[(14, 11)]","(0, 11)",
4,"[(13, 11)]","(0, 11)",
5,"[(12, 11)]","(0, 11)",left
6,"[(11, 11)]","(0, 11)",
7,"[(10, 11)]","(0, 11)",
8,"[(9, 11)]","(0, 11)",
9,"[(8, 11)]","(0, 11)",left
10,"[(7, 11)]","(0, 11)",
11,"[(6, 11)]","(0, 11)",left
12,"[(5, 11)]","(0, 11)",
13,"[(4, 11)]","(0, 11)",
14,"[(3, 11)]","(0, 11)",
15,"[(2, 11)]","(0, 11)",
16,"[(1, 11)]","(0, 11)",
17,"[(0, 11)]","(7, 9)",left
