,Pos. snake,Pos. apple,Decision
0,"[(17, 0)]","(12, 0)",
1,"[(16, 0)]","(12, 0)",
2,"[(15, 0)]","(12, 0)",right
3,"[(14, 0)]","(12, 0)",
4,"[(13, 0)]","(12, 0)",
5,"[(12, 0)]","(0, 17)",
6,"[(11, 0)]","(0, 17)",right
7,"[(10, 0)]","(0, 17)",
8,"[(9, 0)]","(0, 17)",right
9,"[(8, 0)]","(0, 17)",right
10,"[(7, 0)]","(0, 17)",right
11,"[(6, 0)]","(0, 17)",left
12,"[(5, 0)]","(0, 17)",right
13,"[(4, 0)]","(0, 17)",right
14,"[(3, 0)]","(0, 17)",right
15,"[(2, 0)]","(0, 17)",right
16,"[(1, 0)]","(0, 17)",right
17,"[(0, 0)]","(0, 17)",right
