,Pos. snake,Pos. apple,Decision
0,"[(17, 15)]","(8, 15)",
1,"[(16, 15)]","(8, 15)",right
2,"[(15, 15)]","(8, 15)",right
3,"[(14, 15)]","(8, 15)",
4,"[(13, 15)]","(8, 15)",
5,"[(12, 15)]","(8, 15)",right
6,"[(11, 15)]","(8, 15)",right
7,"[(10, 15)]","(8, 15)",
8,"[(9, 15)]","(8, 15)",
9,"[(8, 15)]","(2, 19)",right
10,"[(7, 15)]","(2, 19)",
11,"[(6, 15)]","(2, 19)",left
12,"[(5, 15)]","(2, 19)",
13,"[(4, 15)]","(2, 19)",
14,"[(3, 15)]","(2, 19)",left
15,"[(2, 15)]","(2, 19)",left
16,"[(1, 15)]","(2, 19)",
17,"[(0, 15)]","(2, 19)",right
