,Pos. snake,Pos. apple,Decision
0,"[(17, 14)]","(2, 14)",right
1,"[(16, 14)]","(2, 14)",right
2,"[(15, 14)]","(2, 14)",right
3,"[(14, 14)]","(2, 14)",right
4,"[(13, 14)]","(2, 14)",right
5,"[(12, 14)]","(2, 14)",right
6,"[(11, 14)]","(2, 14)",right
7,"[(10, 14)]","(2, 14)",right
8,"[(9, 14)]","(2, 14)",left
9,"[(8, 14)]","(2, 14)",right
10,"[(7, 14)]","(2, 14)",right
11,"[(6, 14)]","(2, 14)",right
12,"[(5, 14)]","(2, 14)",right
13,"[(4, 14)]","(2, 14)",right
14,"[(3, 14)]","(2, 14)",right
15,"[(2, 14)]","(5, 0)",right
16,"[(1, 14)]","(5, 0)",right
17,"[(0, 14)]","(5, 0)",right
