,Pos. snake,Pos. apple,Decision
0,"[(17, 19)]","(10, 19)",
1,"[(16, 19)]","(10, 19)",left
2,"[(15, 19)]","(10, 19)",
3,"[(14, 19)]","(10, 19)",
4,"[(13, 19)]","(10, 19)",
5,"[(12, 19)]","(10, 19)",
6,"[(11, 19)]","(10, 19)",
7,"[(10, 19)]","(1, 5)",
8,"[(9, 19)]","(1, 5)",left
9,"[(8, 19)]","(1, 5)",left
10,"[(7, 19)]","(1, 5)",left
11,"[(6, 19)]","(1, 5)",left
12,"[(5, 19)]","(1, 5)",left
13,"[(4, 19)]","(1, 5)",left
14,"[(3, 19)]","(1, 5)",left
15,"[(2, 19)]","(1, 5)",left
16,"[(1, 19)]","(1, 5)",left
17,"[(0, 19)]","(1, 5)",left
