,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
0,0,"[(6, 7)]","(2, 3)",,6,3.0,6.0,-1.0,1.0,0.0,1.0,0.0
1,0,"[(6, 8)]","(2, 3)",,6,0.0,6.0,-1.0,1.0,0.0,1.0,0.0
2,0,"[(6, 9)]","(2, 3)",,6,1.0,6.0,-1.0,1.0,0.0,1.0,0.0
3,0,"[(6, 10)]","(2, 3)",,6,2.0,6.0,-1.0,1.0,0.0,1.0,0.0
4,death,death,death,death,death,,,,,,,
5,1,"[(0, 8)]","(6, 5)",,0,6.0,0.0,1.0,1.0,0.0,1.0,0.0
6,1,"[(0, 9)]","(6, 5)",,0,7.0,0.0,1.0,1.0,0.0,1.0,0.0
7,1,"[(0, 10)]","(6, 5)",,0,8.0,0.0,1.0,1.0,0.0,1.0,0.0
8,death,death,death,death,death,,,,,,,
9,2,"[(7, 8)]","(4, 9)",,7,2.0,7.0,-1.0,-1.0,0.0,1.0,0.0
10,2,"[(7, 9)]","(4, 9)",,7,0.0,7.0,-1.0,-1.0,0.0,1.0,0.0
11,2,"[(7, 10)]","(4, 9)",,7,1.0,7.0,-1.0,0.0,0.0,1.0,0.0
12,death,death,death,death,death,,,,,,,
13,3,"[(5, 3)]","(9, 3)",,2,4.0,5.0,1.0,-1.0,0.0,1.0,0.0
14,3,"[(5, 4)]","(9, 3)",,3,4.0,5.0,1.0,0.0,0.0,1.0,0.0
15,3,"[(5, 5)]","(9, 3)",,4,4.0,5.0,1.0,1.0,0.0,1.0,0.0
16,3,"[(5, 6)]","(9, 3)",,5,4.0,5.0,1.0,1.0,0.0,1.0,0.0
17,3,"[(5, 7)]","(9, 3)",,5,0.0,5.0,1.0,1.0,0.0,1.0,0.0
18,3,"[(5, 8)]","(9, 3)",,5,1.0,5.0,1.0,1.0,0.0,1.0,0.0
19,3,"[(5, 9)]","(9, 3)",,5,2.0,5.0,1.0,1.0,0.0,1.0,0.0
20,3,"[(5, 10)]","(9, 3)",,5,3.0,5.0,1.0,1.0,0.0,1.0,0.0
21,death,death,death,death,death,,,,,,,
22,4,"[(2, 1)]","(9, 3)",,0,7.0,2.0,1.0,-1.0,0.0,1.0,0.0
23,4,"[(2, 2)]","(9, 3)",,1,7.0,2.0,1.0,-1.0,0.0,1.0,0.0
24,4,"[(2, 3)]","(9, 3)",,2,7.0,2.0,1.0,-1.0,0.0,1.0,0.0
25,4,"[(2, 4)]","(9, 3)",,2,0.0,2.0,1.0,0.0,0.0,1.0,0.0
