,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
0,0,"[(6, 2)]","(7, 9)",,5,4.0,4.0,1.0,-1.0,1.0,0.0,0.0
1,0,"[(7, 2)]","(7, 9)",,6,3.0,3.0,1.0,-1.0,1.0,0.0,0.0
2,0,"[(7, 1)]","(7, 9)",right,7,2.0,2.0,0.0,-1.0,1.0,0.0,0.0
3,0,"[(7, 0)]","(7, 9)",,2,1.0,2.0,0.0,-1.0,0.0,-1.0,0.0
4,0,"[(7, -1)]","(7, 9)",,2,0.0,2.0,0.0,-1.0,0.0,-1.0,0.0
5,death,death,death,death,death,,,,,,,
6,1,"[(1, 9)]","(3, 2)",right,6,2.0,7.0,1.0,1.0,0.0,-1.0,0.0
7,1,"[(1, 10)]","(3, 2)",right,8,1.0,1.0,1.0,1.0,-1.0,0.0,0.0
8,death,death,death,death,death,,,,,,,
9,2,"[(10, 6)]","(1, 8)",right,6,0.0,9.0,-1.0,-1.0,0.0,1.0,0.0
10,death,death,death,death,death,,,,,,,
11,3,"[(5, 6)]","(2, 1)",right,5,4.0,1.0,-1.0,1.0,1.0,0.0,0.0
12,3,"[(5, 5)]","(2, 1)",,0,5.0,4.0,-1.0,1.0,0.0,-1.0,0.0
13,3,"[(5, 4)]","(2, 1)",,4,5.0,4.0,-1.0,1.0,0.0,-1.0,0.0
14,3,"[(4, 4)]","(2, 1)",right,4,4.0,4.0,-1.0,1.0,0.0,-1.0,0.0
15,3,"[(4, 5)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,-1.0,0.0,0.0
16,3,"[(5, 5)]","(2, 1)",right,4,0.0,4.0,-1.0,1.0,0.0,1.0,0.0
17,3,"[(5, 4)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,1.0,0.0,0.0
18,3,"[(4, 4)]","(2, 1)",right,4,4.0,4.0,-1.0,1.0,0.0,-1.0,0.0
19,3,"[(4, 5)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,-1.0,0.0,0.0
20,3,"[(5, 5)]","(2, 1)",right,4,0.0,4.0,-1.0,1.0,0.0,1.0,0.0
21,3,"[(5, 4)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,1.0,0.0,0.0
22,3,"[(4, 4)]","(2, 1)",right,4,4.0,4.0,-1.0,1.0,0.0,-1.0,0.0
23,3,"[(4, 5)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,-1.0,0.0,0.0
24,3,"[(5, 5)]","(2, 1)",right,4,0.0,4.0,-1.0,1.0,0.0,1.0,0.0
25,3,"[(5, 4)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,1.0,0.0,0.0
26,3,"[(4, 4)]","(2, 1)",right,4,4.0,4.0,-1.0,1.0,0.0,-1.0,0.0
27,3,"[(4, 5)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,-1.0,0.0,0.0
28,3,"[(5, 5)]","(2, 1)",right,4,0.0,4.0,-1.0,1.0,0.0,1.0,0.0
29,3,"[(5, 4)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,1.0,0.0,0.0
30,3,"[(4, 4)]","(2, 1)",right,4,4.0,4.0,-1.0,1.0,0.0,-1.0,0.0
31,3,"[(4, 5)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,-1.0,0.0,0.0
32,3,"[(5, 5)]","(2, 1)",right,4,0.0,4.0,-1.0,1.0,0.0,1.0,0.0
33,3,"[(5, 4)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,1.0,0.0,0.0
34,3,"[(4, 4)]","(2, 1)",right,4,4.0,4.0,-1.0,1.0,0.0,-1.0,0.0
35,3,"[(4, 5)]","(2, 1)",right,5,4.0,4.0,-1.0,1.0,-1.0,0.0,0.0
