,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
0,0,"[(0, 9)]","(3, 8)",right,7,1.0,8.0,1.0,1.0,0.0,-1.0,0.0
1,0,"[(0, 10)]","(3, 8)",right,9,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
2,death,death,death,death,death,,,,,,,
3,1,"[(0, 1)]","(8, 1)",,0,9.0,0.0,1.0,-1.0,0.0,1.0,0.0
4,1,"[(0, 2)]","(8, 1)",,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,1,"[(0, 3)]","(8, 1)",,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
6,1,"[(0, 4)]","(8, 1)",,0,2.0,0.0,1.0,1.0,0.0,1.0,0.0
7,1,"[(0, 5)]","(8, 1)",,0,3.0,0.0,1.0,1.0,0.0,1.0,0.0
8,1,"[(0, 6)]","(8, 1)",,0,4.0,0.0,1.0,1.0,0.0,1.0,0.0
9,1,"[(0, 7)]","(8, 1)",,0,5.0,0.0,1.0,1.0,0.0,1.0,0.0
10,1,"[(0, 8)]","(8, 1)",,0,6.0,0.0,1.0,1.0,0.0,1.0,0.0
11,1,"[(0, 9)]","(8, 1)",,0,7.0,0.0,1.0,1.0,0.0,1.0,0.0
12,1,"[(0, 10)]","(8, 1)",,0,8.0,0.0,1.0,1.0,0.0,1.0,0.0
13,death,death,death,death,death,,,,,,,
14,2,"[(7, 2)]","(5, 9)",,1,2.0,7.0,-1.0,-1.0,0.0,1.0,0.0
15,2,"[(7, 3)]","(5, 9)",,2,2.0,7.0,-1.0,-1.0,0.0,1.0,0.0
16,2,"[(7, 4)]","(5, 9)",,3,2.0,7.0,-1.0,-1.0,0.0,1.0,0.0
17,2,"[(8, 4)]","(5, 9)",right,4,2.0,7.0,-1.0,-1.0,0.0,1.0,0.0
18,2,"[(8, 3)]","(5, 9)",right,8,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0
19,2,"[(8, 2)]","(5, 9)",,1,3.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
20,2,"[(8, 1)]","(5, 9)",,1,2.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
21,2,"[(8, 0)]","(5, 9)",,1,1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
22,2,"[(7, 0)]","(5, 9)",right,1,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
23,2,"[(6, 0)]","(5, 9)",,2,7.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
24,2,"[(5, 0)]","(5, 9)",,3,6.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
25,2,"[(4, 0)]","(5, 9)",,4,5.0,0.0,0.0,-1.0,-1.0,0.0,0.0
26,2,"[(4, 1)]","(5, 9)",right,5,4.0,0.0,1.0,-1.0,-1.0,0.0,0.0
