,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
0,0,"[(8, 1)]","(1, 3)",,0,1.0,8.0,-1.0,-1.0,0.0,1.0,0.0
1,0,"[(8, 2)]","(1, 3)",,1,1.0,8.0,-1.0,-1.0,0.0,1.0,0.0
2,0,"[(8, 3)]","(1, 3)",,2,1.0,8.0,-1.0,-1.0,0.0,1.0,0.0
3,0,"[(8, 4)]","(1, 3)",,3,1.0,8.0,-1.0,0.0,0.0,1.0,0.0
4,0,"[(9, 4)]","(1, 3)",right,4,1.0,8.0,-1.0,1.0,0.0,1.0,0.0
5,0,"[(9, 3)]","(1, 3)",right,9,0.0,0.0,-1.0,1.0,1.0,0.0,0.0
6,0,"[(9, 2)]","(1, 3)",,0,3.0,0.0,-1.0,0.0,0.0,-1.0,0.0
7,0,"[(9, 1)]","(1, 3)",,0,2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
8,0,"[(9, 0)]","(1, 3)",,0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
9,0,"[(9, -1)]","(1, 3)",,0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
10,death,death,death,death,death,,,,,,,
11,1,"[(7, 3)]","(5, 2)",,2,4.0,2.0,-1.0,1.0,0.0,-1.0,0.0
12,1,"[(6, 3)]","(5, 2)",right,2,3.0,2.0,-1.0,1.0,0.0,-1.0,0.0
13,1,"[(5, 3)]","(5, 2)",,3,6.0,3.0,-1.0,1.0,-1.0,0.0,0.0
14,1,"[(5, 4)]","(5, 2)",right,4,5.0,3.0,0.0,1.0,-1.0,0.0,0.0
15,1,"[(5, 5)]","(5, 2)",,4,4.0,5.0,0.0,1.0,0.0,1.0,0.0
16,1,"[(5, 6)]","(5, 2)",,5,4.0,5.0,0.0,1.0,0.0,1.0,0.0
17,1,"[(6, 6)]","(5, 2)",right,5,0.0,5.0,0.0,1.0,0.0,1.0,0.0
18,1,"[(6, 5)]","(5, 2)",right,6,3.0,3.0,-1.0,1.0,1.0,0.0,0.0
19,1,"[(6, 4)]","(5, 2)",,3,5.0,3.0,-1.0,1.0,0.0,-1.0,0.0
20,1,"[(5, 4)]","(5, 2)",right,3,4.0,3.0,-1.0,1.0,0.0,-1.0,0.0
21,1,"[(4, 4)]","(5, 2)",,4,5.0,4.0,0.0,1.0,-1.0,0.0,0.0
22,1,"[(4, 5)]","(5, 2)",right,5,4.0,4.0,1.0,1.0,-1.0,0.0,0.0
23,1,"[(5, 5)]","(5, 2)",right,4,0.0,4.0,1.0,1.0,0.0,1.0,0.0
24,1,"[(6, 5)]","(5, 2)",,5,4.0,4.0,0.0,1.0,1.0,0.0,0.0
25,1,"[(6, 4)]","(5, 2)",right,6,3.0,3.0,-1.0,1.0,1.0,0.0,0.0
26,1,"[(5, 4)]","(5, 2)",right,3,4.0,3.0,-1.0,1.0,0.0,-1.0,0.0
27,1,"[(4, 4)]","(5, 2)",,4,5.0,4.0,0.0,1.0,-1.0,0.0,0.0
28,1,"[(4, 5)]","(5, 2)",right,5,4.0,4.0,1.0,1.0,-1.0,0.0,0.0
29,1,"[(5, 5)]","(5, 2)",right,4,0.0,4.0,1.0,1.0,0.0,1.0,0.0
30,1,"[(6, 5)]","(5, 2)",,5,4.0,4.0,0.0,1.0,1.0,0.0,0.0
31,1,"[(6, 4)]","(5, 2)",right,6,3.0,3.0,-1.0,1.0,1.0,0.0,0.0
32,1,"[(5, 4)]","(5, 2)",right,3,4.0,3.0,-1.0,1.0,0.0,-1.0,0.0
33,1,"[(4, 4)]","(5, 2)",,4,5.0,4.0,0.0,1.0,-1.0,0.0,0.0
34,1,"[(4, 5)]","(5, 2)",right,5,4.0,4.0,1.0,1.0,-1.0,0.0,0.0
35,1,"[(5, 5)]","(5, 2)",right,4,0.0,4.0,1.0,1.0,0.0,1.0,0.0
36,1,"[(6, 5)]","(5, 2)",,5,4.0,4.0,0.0,1.0,1.0,0.0,0.0
37,1,"[(6, 4)]","(5, 2)",right,6,3.0,3.0,-1.0,1.0,1.0,0.0,0.0
38,1,"[(5, 4)]","(5, 2)",right,3,4.0,3.0,-1.0,1.0,0.0,-1.0,0.0
39,1,"[(4, 4)]","(5, 2)",,4,5.0,4.0,0.0,1.0,-1.0,0.0,0.0
40,1,"[(4, 5)]","(5, 2)",right,5,4.0,4.0,1.0,1.0,-1.0,0.0,0.0
41,1,"[(5, 5)]","(5, 2)",right,4,0.0,4.0,1.0,1.0,0.0,1.0,0.0
42,1,"[(6, 5)]","(5, 2)",,5,4.0,4.0,0.0,1.0,1.0,0.0,0.0
