,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
0,0,"[(3, 7)]","(9, 4)",right,6,3.0,3.0,1.0,1.0,-1.0,0.0,0.0
1,0,"[(3, 8)]","(9, 4)",,3,3.0,3.0,1.0,1.0,0.0,1.0,0.0
2,0,"[(3, 9)]","(9, 4)",,3,4.0,3.0,1.0,1.0,0.0,1.0,0.0
3,0,"[(3, 10)]","(9, 4)",,3,5.0,3.0,1.0,1.0,0.0,1.0,0.0
4,death,death,death,death,death,,,,,,,
5,1,"[(8, 9)]","(3, 3)",right,7,1.0,7.0,-1.0,1.0,0.0,1.0,0.0
6,1,"[(8, 8)]","(3, 3)",right,8,1.0,0.0,-1.0,1.0,1.0,0.0,0.0
7,1,"[(8, 7)]","(3, 3)",,1,8.0,1.0,-1.0,1.0,0.0,-1.0,0.0
8,1,"[(8, 6)]","(3, 3)",,1,7.0,1.0,-1.0,1.0,0.0,-1.0,0.0
9,1,"[(8, 5)]","(3, 3)",,1,6.0,1.0,-1.0,1.0,0.0,-1.0,0.0
10,1,"[(8, 4)]","(3, 3)",,1,5.0,1.0,-1.0,1.0,0.0,-1.0,0.0
11,1,"[(8, 3)]","(3, 3)",,1,4.0,1.0,-1.0,1.0,0.0,-1.0,0.0
12,1,"[(8, 2)]","(3, 3)",,1,3.0,1.0,-1.0,0.0,0.0,-1.0,0.0
13,1,"[(8, 1)]","(3, 3)",,1,2.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
14,1,"[(8, 0)]","(3, 3)",,1,1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
15,1,"[(7, 0)]","(3, 3)",right,1,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
16,1,"[(6, 0)]","(3, 3)",,2,7.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
17,1,"[(5, 0)]","(3, 3)",,3,6.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
18,1,"[(4, 0)]","(3, 3)",,4,5.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
19,1,"[(4, 1)]","(3, 3)",right,5,4.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
20,1,"[(4, 2)]","(3, 3)",,1,5.0,4.0,-1.0,-1.0,0.0,1.0,0.0
21,1,"[(4, 3)]","(3, 3)",,2,5.0,4.0,-1.0,-1.0,0.0,1.0,0.0
22,1,"[(4, 4)]","(3, 3)",,3,5.0,4.0,-1.0,0.0,0.0,1.0,0.0
23,1,"[(4, 5)]","(3, 3)",,4,5.0,4.0,-1.0,1.0,0.0,1.0,0.0
24,1,"[(5, 5)]","(3, 3)",right,4,0.0,4.0,-1.0,1.0,0.0,1.0,0.0
25,1,"[(6, 5)]","(3, 3)",,5,4.0,4.0,-1.0,1.0,1.0,0.0,0.0
26,1,"[(6, 4)]","(3, 3)",right,6,3.0,3.0,-1.0,1.0,1.0,0.0,0.0
27,1,"[(6, 3)]","(3, 3)",,3,4.0,3.0,-1.0,1.0,0.0,-1.0,0.0
28,1,"[(6, 2)]","(3, 3)",,3,3.0,3.0,-1.0,0.0,0.0,-1.0,0.0
29,1,"[(6, 1)]","(3, 3)",,3,2.0,3.0,-1.0,-1.0,0.0,-1.0,0.0
30,1,"[(5, 1)]","(3, 3)",right,3,1.0,3.0,-1.0,-1.0,0.0,-1.0,0.0
31,1,"[(4, 1)]","(3, 3)",,4,5.0,1.0,-1.0,-1.0,-1.0,0.0,0.0
32,1,"[(4, 2)]","(3, 3)",right,5,4.0,1.0,-1.0,-1.0,-1.0,0.0,0.0
33,1,"[(4, 3)]","(3, 3)",,2,5.0,4.0,-1.0,-1.0,0.0,1.0,0.0
34,1,"[(4, 4)]","(3, 3)",,3,5.0,4.0,-1.0,0.0,0.0,1.0,0.0
35,1,"[(4, 5)]","(3, 3)",,4,5.0,4.0,-1.0,1.0,0.0,1.0,0.0
36,1,"[(5, 5)]","(3, 3)",right,4,0.0,4.0,-1.0,1.0,0.0,1.0,0.0
37,1,"[(6, 5)]","(3, 3)",,5,4.0,4.0,-1.0,1.0,1.0,0.0,0.0
38,1,"[(6, 4)]","(3, 3)",right,6,3.0,3.0,-1.0,1.0,1.0,0.0,0.0
39,1,"[(6, 3)]","(3, 3)",,3,4.0,3.0,-1.0,1.0,0.0,-1.0,0.0
40,1,"[(6, 2)]","(3, 3)",,3,3.0,3.0,-1.0,0.0,0.0,-1.0,0.0
41,1,"[(6, 1)]","(3, 3)",,3,2.0,3.0,-1.0,-1.0,0.0,-1.0,0.0
42,1,"[(5, 1)]","(3, 3)",right,3,1.0,3.0,-1.0,-1.0,0.0,-1.0,0.0
43,1,"[(4, 1)]","(3, 3)",,4,5.0,1.0,-1.0,-1.0,-1.0,0.0,0.0
44,1,"[(4, 2)]","(3, 3)",right,5,4.0,1.0,-1.0,-1.0,-1.0,0.0,0.0
45,1,"[(4, 3)]","(3, 3)",,2,5.0,4.0,-1.0,-1.0,0.0,1.0,0.0
46,1,"[(4, 4)]","(3, 3)",,3,5.0,4.0,-1.0,0.0,0.0,1.0,0.0
