,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
0,0,"[(6, 6)]","(5, 6)",,2,7.0,6.0,-1.0,0.0,-1.0,0.0,0.0
1,0,"[(5, 6)]","(0, 9)",,3,6.0,6.0,-1.0,0.0,-1.0,0.0,1.0
2,0,"[(4, 6), (5, 6)]","(0, 9)",,4,5.0,5.0,-1.0,-1.0,-1.0,0.0,1.0
3,0,"[(3, 6), (4, 6)]","(0, 9)",,5,4.0,4.0,-1.0,-1.0,-1.0,0.0,1.0
4,0,"[(3, 7), (3, 6)]","(0, 9)",right,6,3.0,3.0,-1.0,-1.0,-1.0,0.0,1.0
5,0,"[(3, 8), (3, 7)]","(0, 9)",,3,3.0,3.0,-1.0,-1.0,0.0,1.0,1.0
6,0,"[(3, 9), (3, 8)]","(0, 9)",,3,4.0,3.0,-1.0,-1.0,0.0,1.0,1.0
7,0,"[(3, 10), (3, 9)]","(0, 9)",,3,5.0,3.0,-1.0,0.0,0.0,1.0,1.0
8,death,death,death,death,death,,,,,,,
9,1,"[(0, 2)]","(3, 1)",,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
10,1,"[(0, 3)]","(3, 1)",,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
11,1,"[(0, 4)]","(3, 1)",,0,2.0,0.0,1.0,1.0,0.0,1.0,0.0
12,1,"[(0, 5)]","(3, 1)",,0,3.0,0.0,1.0,1.0,0.0,1.0,0.0
13,1,"[(0, 6)]","(3, 1)",,0,4.0,0.0,1.0,1.0,0.0,1.0,0.0
14,1,"[(0, 7)]","(3, 1)",,0,5.0,0.0,1.0,1.0,0.0,1.0,0.0
15,1,"[(0, 8)]","(3, 1)",,0,6.0,0.0,1.0,1.0,0.0,1.0,0.0
16,1,"[(0, 9)]","(3, 1)",,0,7.0,0.0,1.0,1.0,0.0,1.0,0.0
17,1,"[(0, 10)]","(3, 1)",,0,8.0,0.0,1.0,1.0,0.0,1.0,0.0
18,death,death,death,death,death,,,,,,,
19,2,"[(1, 2)]","(1, 8)",,1,8.0,1.0,0.0,-1.0,0.0,1.0,0.0
20,2,"[(1, 3)]","(1, 8)",,1,0.0,1.0,0.0,-1.0,0.0,1.0,0.0
21,2,"[(1, 4)]","(1, 8)",,1,1.0,1.0,0.0,-1.0,0.0,1.0,0.0
22,2,"[(1, 5)]","(1, 8)",,1,2.0,1.0,0.0,-1.0,0.0,1.0,0.0
