,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
116,10,"[(5, 9)]","(5, 1)",right,4,4.0,4.0,1.0,1.0,0.0,1.0,0.0
117,10,"[(5, 8)]","(5, 1)",right,5,4.0,3.0,0.0,1.0,1.0,0.0,0.0
118,10,"[(6, 8)]","(5, 1)",left,2,5.0,4.0,0.0,1.0,0.0,-1.0,0.0
119,10,"[(7, 8)]","(5, 1)",,6,3.0,1.0,-1.0,1.0,1.0,0.0,0.0
120,10,"[(7, 9)]","(5, 1)",left,7,2.0,0.0,-1.0,1.0,1.0,0.0,0.0
121,10,"[(7, 10)]","(5, 1)",,7,1.0,7.0,-1.0,1.0,0.0,1.0,0.0
122,death,death,death,death,death,,,,,,,
123,11,"[(1, 3)]","(4, 8)",left,2,0.0,2.0,1.0,-1.0,0.0,1.0,0.0
124,11,"[(1, 2)]","(4, 8)",left,8,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0
125,11,"[(2, 2)]","(4, 8)",left,0,1.0,8.0,1.0,-1.0,0.0,-1.0,0.0
126,11,"[(2, 3)]","(4, 8)",left,2,7.0,7.0,1.0,-1.0,1.0,0.0,0.0
127,11,"[(3, 3)]","(4, 8)",right,2,0.0,2.0,1.0,-1.0,0.0,1.0,0.0
128,11,"[(3, 2)]","(4, 8)",right,3,6.0,6.0,1.0,-1.0,1.0,0.0,0.0
129,11,"[(3, 1)]","(4, 8)",,6,2.0,6.0,1.0,-1.0,0.0,-1.0,0.0
130,11,"[(4, 1)]","(4, 8)",left,6,1.0,6.0,1.0,-1.0,0.0,-1.0,0.0
131,11,"[(4, 2)]","(4, 8)",left,4,5.0,5.0,0.0,-1.0,1.0,0.0,0.0
132,11,"[(5, 2)]","(4, 8)",right,2,5.0,4.0,0.0,-1.0,0.0,1.0,0.0
133,11,"[(5, 3)]","(4, 8)",left,5,4.0,4.0,-1.0,-1.0,1.0,0.0,0.0
134,11,"[(4, 3)]","(4, 8)",left,3,4.0,5.0,-1.0,-1.0,0.0,1.0,0.0
135,11,"[(4, 2)]","(4, 8)",left,5,4.0,3.0,0.0,-1.0,-1.0,0.0,0.0
136,11,"[(5, 2)]","(4, 8)",left,5,2.0,5.0,0.0,-1.0,0.0,-1.0,0.0
137,11,"[(6, 2)]","(4, 8)",,5,4.0,4.0,-1.0,-1.0,1.0,0.0,0.0
138,11,"[(6, 3)]","(4, 8)",left,6,3.0,3.0,-1.0,-1.0,1.0,0.0,0.0
139,11,"[(7, 3)]","(4, 8)",right,3,3.0,6.0,-1.0,-1.0,0.0,1.0,0.0
140,11,"[(7, 2)]","(4, 8)",right,7,2.0,2.0,-1.0,-1.0,1.0,0.0,0.0
141,11,"[(8, 2)]","(4, 8)",left,2,2.0,2.0,-1.0,-1.0,0.0,-1.0,0.0
142,11,"[(8, 3)]","(4, 8)",left,8,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0
143,11,"[(9, 3)]","(4, 8)",right,3,1.0,8.0,-1.0,-1.0,0.0,1.0,0.0
144,11,"[(9, 2)]","(4, 8)",right,9,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0
145,11,"[(9, 1)]","(4, 8)",,0,2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
146,11,"[(10, 1)]","(4, 8)",left,0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
147,death,death,death,death,death,,,,,,,
148,12,"[(6, 5)]","(8, 9)",,5,4.0,4.0,1.0,-1.0,1.0,0.0,0.0
149,12,"[(6, 6)]","(8, 9)",left,6,3.0,3.0,1.0,-1.0,1.0,0.0,0.0
150,12,"[(6, 7)]","(8, 9)",,6,3.0,6.0,1.0,-1.0,0.0,1.0,0.0
